type	common_tokens	models	stress	date	corpus	part_of_speech	total_tokens
church	284	144	NA	2019-01-20	GloWbE	noun	300
zwart	211	144	NA	2019-10-28	QLVLNews	adjective	300
horde	262	144	0.161	2020-03-10	QLVLNews	noun	279
hoop	298	144	0.1695	2020-03-10	QLVLNews	noun	317
spot	220	144	0.1062	2020-03-10	QLVLNews	noun	235
staal	313	144	0.1519	2020-03-10	QLVLNews	noun	319
stof	314	144	0.1576	2020-03-10	QLVLNews	noun	320
schaal	308	144	0.1213	2020-03-10	QLVLNews	noun	320
blik	261	144	0.1476	2020-03-11	QLVLNews	noun	280
spoor	342	144	0.1456	2020-03-11	QLVLNews	noun	360
heilzaam	235	144	0.1375	2020-03-24	QLVLNews	adj	239
hoekig	275	144	0.1573	2020-03-24	QLVLNews	adj	278
gekleurd	271	144	0.1833	2020-03-24	QLVLNews	adj	279
dof	314	144	0.1323	2020-03-25	QLVLNews	adj	319
hachelijk	238	144	0.1258	2020-03-25	QLVLNews	adj	239
geestig	266	144	0.176	2020-03-25	QLVLNews	adj	276
hoopvol	228	144	0.1448	2020-03-25	QLVLNews	adj	237
hemels	227	144	0.1658	2020-03-25	QLVLNews	adj	238
geldig	235	144	0.1826	2020-03-25	QLVLNews	adj	239
gemeen	314	144	0.149	2020-03-25	QLVLNews	adj	317
goedkoop	314	144	0.1577	2020-03-25	QLVLNews	adj	320
grijs	304	144	0.1763	2020-03-25	QLVLNews	adj	319
heet	348	144	0.161	2020-03-25	QLVLNews	adj	359
heffen	189	204	0.1768	2020-07-09	QLVLNews	verb	218
huldigen	202	204	0.2384	2020-07-13	QLVLNews	verb	230
haten	172	204	0.1547	2020-07-13	QLVLNews	verb	229
herroepen	205	204	0.2422	2020-07-13	QLVLNews	verb	236
helpen	196	204	0.1837	2020-07-13	QLVLNews	verb	233
herinneren	169	204	0.1181	2020-07-13	QLVLNews	verb	240
herhalen	267	204	0.237	2020-07-13	QLVLNews	verb	312
diskwalificeren	198	204	0.2005	2020-07-13	QLVLNews	verb	238
haken	222	204	0.1401	2020-07-13	QLVLNews	verb	251
herstellen	210	204	0.2058	2020-07-13	QLVLNews	verb	239
herstructureren	146	204	0.2075	2020-07-13	QLVLNews	verb	240
harden	244	204	0.1585	2020-07-13	QLVLNews	verb	279
