filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi0.ll0.COHA.ppmi0.ll0	church	COHA	0	0	10	10	COHA	0	0	10	10	287	10	10	0.237577593225188
COHA.ppmi0.ll0.COHA.ppmi0.ll1	church	COHA	0	0	10	10	COHA	0	1	10	10	287	10	10	0.242327632459475
COHA.ppmi0.ll0.COHA.ppmi1.ll0	church	COHA	0	0	10	10	COHA	1	0	10	10	287	10	10	0.251207979939966
COHA.ppmi0.ll0.COHA.ppmi1.ll1	church	COHA	0	0	10	10	COHA	1	1	10	10	287	10	10	0.250506178189519
COHA.ppmi0.ll0.COHA.ppmi2.ll0	church	COHA	0	0	10	10	COHA	2	0	10	10	284	10	10	0.266034224308528
COHA.ppmi0.ll0.COHA.ppmi2.ll1	church	COHA	0	0	10	10	COHA	2	1	10	10	284	10	10	0.265521471626916
COHA.ppmi0.ll0.Semcor.ppmi0.ll0	church	COHA	0	0	10	10	Semcor	0	0	10	10	287	10	10	0.267936541482215
COHA.ppmi0.ll0.Semcor.ppmi0.ll1	church	COHA	0	0	10	10	Semcor	0	1	10	10	287	10	10	0.279401108099033
COHA.ppmi0.ll0.Semcor.ppmi1.ll0	church	COHA	0	0	10	10	Semcor	1	0	10	10	287	10	10	0.285772682870282
COHA.ppmi0.ll0.Semcor.ppmi1.ll1	church	COHA	0	0	10	10	Semcor	1	1	10	10	287	10	10	0.284993831374029
COHA.ppmi0.ll0.Semcor.ppmi2.ll0	church	COHA	0	0	10	10	Semcor	2	0	10	10	287	10	10	0.30446642499968
COHA.ppmi0.ll0.Semcor.ppmi2.ll1	church	COHA	0	0	10	10	Semcor	2	1	10	10	287	10	10	0.303706119076852
COHA.ppmi0.ll1.COHA.ppmi0.ll0	church	COHA	0	1	10	10	COHA	0	0	10	10	278	10	10	0.24205994294869
COHA.ppmi0.ll1.COHA.ppmi0.ll1	church	COHA	0	1	10	10	COHA	0	1	10	10	278	10	10	0.248659051730385
COHA.ppmi0.ll1.COHA.ppmi1.ll0	church	COHA	0	1	10	10	COHA	1	0	10	10	278	10	10	0.244199921449277
